Player,Romanized Name,Nationality,Born,Status,Role,Team,Approx. Total Winnings,Signature Heroes,Game Appearances
MER1T,Choi Tae-min,South Korea,"June 21, 2002 (age 23)",Active,DPS,Team Falcons,"$417,085","Sojourn, Widowmaker, Ashe","Overwatch, Overwatch 2"
Sugarfree,,United States,"December 16, 2004 (age 20)",Active,DPS,Spacestation Gaming,"$124,207","Genji, Echo, Tracer","Overwatch, Overwatch 2"
SOMEONE,Ham Jeong-wan,South Korea,"April 24, 2004 (age 21)",Active,Tank,Team Falcons,"$336,109","Reinhardt, Winston, Ramattra","Overwatch, Overwatch 2"
Vega,,"United States, Mexico","May 31, 2006 (age 19)",Active,Support,Team Liquid,"$104,882","Lúcio, Brigitte, Illari","Overwatch, Overwatch 2"
Rupal,,"United States, Bangladesh","September  4, 2002 (age 22)",Active,Support,Team Liquid,"$339,037","Baptiste, Ana, Kiriko","Overwatch, Overwatch 2"
Seeker,,"Canada, United States","August  7, 2004 (age 20)",Active,DPS,Spacestation Gaming,"$35,853","Sojourn, Widowmaker, Bastion","Overwatch, Overwatch 2"
TOPDRAGON,Jeong Seung-yong,South Korea,"January  3, 2005 (age 20)",Active,DPS,VARREL,"$32,396","Echo, Pharah, Genji","Overwatch, Overwatch 2"
zeruhh,,"United States, Ecuador","September 27, 2006 (age 18)",Active,"DPS, Coach","Team Liquid, Winthrop University","$36,021","Genji, Tracer, Reaper","Overwatch, Overwatch 2"
MirroR,,"Vietnam, United States","October 14, 2001 (age 23)",Active,Flex,,"$58,746","Doomfist, Zarya, Illari","Overwatch, Overwatch 2"
Lyar,,United States,"October 30, 2000 (age 24)",Active,Support,Winthrop University,"$35,920","Lúcio, Baptiste, Brigitte","Overwatch, Overwatch 2"
MCD,Lee Jeong-ho,South Korea,"December 25, 1998 (age 26)",Active,Support,,"$58,780","Zenyatta, Ana, Moira","Overwatch, Overwatch 2"
Rokit,,United States,"April  5, 2005 (age 20)",Active,DPS,"Sign Esports, NTMR, Northwood University Blue","$26,420","Tracer, Genji, Ashe","Overwatch, Overwatch 2"
SeonJun,Park Seon-jun,South Korea,"March 23, 2006 (age 19)",Active,"DPS, Tank",All Gamers Global,"$14,871","Tracer, Genji, Venture","Overwatch, Overwatch 2"
Chopper,,"United States, South Korea","June  4, 2003 (age 22)",Active,DPS,,"$19,054","Sojourn, Genji, Widowmaker","Overwatch, Overwatch 2"
Raikker,,United States,"February  9, 2005 (age 20)",Active,"Tank, Coach",,"$21,261","Wrecking Ball, Winston, Doomfist","Overwatch, Overwatch 2"
iCy,,Canada,"November 16, 2001 (age 23)",Active,Tank,,"$32,329","D.Va, Zarya, Sigma","Overwatch, Overwatch 2"
OPENER,An Gi-beom,South Korea,"April  3, 2004 (age 21)",Active,Support,,"$11,411","Lúcio, Mercy, Brigitte","Overwatch, Overwatch 2"
Cjay,,United States,"September  2, 2003 (age 21)",Active,"Support, Coach","Spacestation Gaming, Northwood University Blue","$46,387","Baptiste, Zenyatta, Ana","Overwatch, Overwatch 2"
Bun,,"United States, South Korea",,Active,DPS,,"$14,039","Mei, Sombra, Genji","Overwatch, Overwatch 2"
Tristan,,Canada,March 16,Active,DPS,,"$1,671","Hanzo, Reaper, Cassidy","Overwatch, Overwatch 2"
Snozlar,,United States,"March 21, 2002 (age 23)",Active,DPS,,"$6,116","Tracer, Echo, Widowmaker","Overwatch, Overwatch 2"
sawhill,,"Canada, Afghanistan","November  9, 2003 (age 21)",Active,Tank,,"$7,636","Reinhardt, Ramattra, Winston","Overwatch, Overwatch 2"
Beluga,,United States,"September 13, 1997 (age 27)",Retired,Tank,,"$3,517","Sigma, D.Va, Zarya","Overwatch, Overwatch 2"
Halo,,United States,"July 19, 2000 (age 25)",Active,Support,,"$20,429","Lúcio, Brigitte, Mercy","Overwatch, Overwatch 2"
Neutral,,United States,"May  4, 2003 (age 22)",Active,Support,Rutgers University Scarlet Knights,"$8,219","Zenyatta, Kiriko, Baptiste","Overwatch, Overwatch 2"
Shaq,,United States,,Active,"Coach, Support","Young and Beautiful, DhillDucks","$3,253","Baptiste, Ana, Zenyatta","Overwatch, Overwatch 2"
scissors,,United States,"July 26, 2005 (age 20)",Active,DPS,Spacestation Gaming,"$20,355","Tracer, Pharah, Venture","Overwatch, Overwatch 2"
PGE,,United States,"November 26, 2003 (age 21)",Active,"Streamer, DPS",Spacestation Gaming,"$10,081","Sojourn, Widowmaker, Tracer","Overwatch, Overwatch 2"
Infekted,,United States,"February 13, 2007 (age 18)",Active,"Tank, Coach","Team Liquid, Winthrop University","$40,307","Reinhardt, Wrecking Ball, Winston","Overwatch, Overwatch 2"
Rakattack,,United States,"September 22, 2002 (age 22)",Active,"Support, Streamer","The Gatos Guapos, Winthrop University, Gen.G Esports","$42,815","Lifeweaver, Brigitte, Lúcio","Overwatch, Overwatch 2"
cal,,Canada,"October 15, 2004 (age 20)",Retired,Support,,"$24,810","Zenyatta, Baptiste, Kiriko","Overwatch, Overwatch 2"
Hydron,,"United States, Dominican Republic, Brazil","February 27, 2004 (age 21)",Active,DPS,Fisher College,"$48,728","Widowmaker, Sojourn, Tracer","Overwatch, Overwatch 2"
Pelican,Oh Se-hyun,South Korea,"July  5, 2002 (age 23)",Active,"DPS, Coach",ZETA DIVISION,"$327,842","Echo, Genji, Mei","Overwatch, Overwatch 2"
Hawk,,United States,"September 16, 2001 (age 23)",Active,Tank,,"$258,498","D.Va, Sigma, Doomfist","Overwatch, Overwatch 2"
Lep,,"United States, Argentina","July 30, 2002 (age 23)",Active,"Support, Coach","Sign Esports, NTMR, Northwood University Blue","$30,546","Lúcio, Brigitte, Mercy","Overwatch, Overwatch 2"
UltraViolet,,United States,"April  1, 2004 (age 21)",Active,"Support, DPS","Geekay Esports, Winthrop University","$103,468","Baptiste, Zenyatta, Ana","Overwatch, Overwatch 2"
Vision,,United States,"August 12, 2002 (age 22)",Active,"Coach, DPS",Dreamland,"$34,468","Hanzo, Widowmaker, Cassidy","Overwatch, Overwatch 2"
k1ng,,United States,"July 13, 2004 (age 21)",Active,DPS,,"$32,679","Genji, Tracer, Echo","Overwatch, Overwatch 2"
Danteh,,United States,"March 24, 1999 (age 26)",Active,"Tank, DPS",,"$103,499","Doomfist, Junker Queen, Tracer","Overwatch, Overwatch 2"
False,,Canada,"February 16, 2002 (age 23)",Active,Tank,Supernova,"$32,249","D.Va, Sigma, Zarya","Overwatch, Overwatch 2"
Joobi,,United States,"April  4, 2003 (age 22)",Retired,"Support, Coach",,"$23,660","Lúcio, Mercy, Baptiste","Overwatch, Overwatch 2"
Lukemino,,United States,"February 12, 2003 (age 22)",Active,Support,"Sign Esports, NTMR","$47,453","Baptiste, Lúcio, Brigitte","Overwatch, Overwatch 2"
squid,,United States,"May  3, 2004 (age 21)",Active,"Support, DPS",Spacestation Gaming,"$24,271","Kiriko, Zenyatta, Ana","Overwatch, Overwatch 2"
JUTSU,,"United States, United Kingdom","November 25, 2004 (age 20)",Active,DPS,Supernova,"$3,395","Widowmaker, Sojourn, Ashe",Overwatch 2
Hkeybroke,,United States,"July 24, 2001 (age 24)",Active,DPS,,"$5,699","Genji, Echo, Pharah","Overwatch, Overwatch 2"
Melophobia,,United States,"June  9, 2006 (age 19)",Active,DPS,,$535,"Tracer, Mei, Echo",Overwatch 2
Zmurfiex,,United States,,Active,Tank,,$929,"Reinhardt, Junker Queen, D.Va",Overwatch 2
m5ri,,United States,"August 18, 2004 (age 20)",Active,Tank,,"$5,940","Junker Queen, Sigma, Doomfist","Overwatch, Overwatch 2"
Thunder,,United States,,Active,Support,,$163,"Brigitte, Lúcio, Baptiste","Overwatch, Overwatch 2"
Hutch,,United States,"August  3, 2002 (age 22)",Active,"Support, Manager",Bellevue University,"$1,233","Baptiste, Zenyatta, Kiriko","Overwatch, Overwatch 2"
Abyss,,"United States, Iraq","January 23, 2002 (age 23)",Inactive,Support,,"$2,639","Zenyatta, Baptiste, Kiriko","Overwatch, Overwatch 2"
Dantwist,,United States,"April 27, 2000 (age 25)",Active,"DPS, Coach",University of St. Thomas,"$2,767","Sojourn, Cassidy, Soldier: 76","Overwatch, Overwatch 2"
Abstract,,United States,"December 12, 2002 (age 22)",Active,"DPS, Tank",University of St. Thomas,"$1,689","Sombra, Mei, Tracer","Overwatch, Overwatch 2"
Vintage,,Mexico,"June 10, 2002 (age 23)",Active,DPS,,"$1,000","Widowmaker, Cassidy, Sojourn","Overwatch, Overwatch 2"
Sexyman69,,Canada,"July 16, 2003 (age 22)",Active,"Coach, Tank",University of Toronto,"$1,658","D.Va, Sigma, Junker Queen","Overwatch, Overwatch 2"
Solo,,Canada,"June 30, 2004 (age 21)",Active,Tank,Shikigami,"$2,269","Junker Queen, Winston, Orisa",Overwatch 2
Noctis,,United States,"November 24, 2002 (age 22)",Active,Support,University of St. Thomas,"$4,286","Lúcio, Baptiste, Brigitte","Overwatch, Overwatch 2"
Goose,,United States,,Active,Support,,"$2,753","Baptiste, Zenyatta, Kiriko","Overwatch, Overwatch 2"
Graveyard,,Canada,"September 26, 2005 (age 19)",Active,"Support, Coach",,"$2,831","Kiriko, Ana, Illari",Overwatch 2
Haven,Lee Yeong-min,South Korea,"February 19, 1999 (age 26)",Retired,DPS,,"$2,413","Sombra, Tracer, Pharah",Overwatch
NOS,,United States,"September  8, 2000 (age 24)",Active,DPS,,"$21,742","Genji, Mei, Tracer","Overwatch, Overwatch 2"
POUNDTOWN,,United States,"November 17, 1998 (age 26)",Active,Tank,,"$19,826","Orisa, Winston, Wrecking Ball","Overwatch, Overwatch 2"
Krawi,,"United States, Iraq","June 16, 2002 (age 23)",Active,Tank,,"$5,811","Ramattra, Junker Queen, D.Va","Overwatch, Overwatch 2"
FishCake,,United States,"May 19, 2002 (age 23)",Active,Support,,"$10,698","Lúcio, Mercy, Brigitte","Overwatch, Overwatch 2"
Paintbrush,,United States,"March 19, 1996 (age 29)",Retired,Support,,"$22,841","Lúcio, Mercy, Brigitte","Overwatch, Overwatch 2"
pink,,"United States, India","January 25, 2007 (age 18)",Active,Support,,"$5,320","Baptiste, Ana, Moira","Overwatch, Overwatch 2"
Jazza,,,,,,,,,
Glacial,,,,,,,,,
Garchomp,,"United States, Egypt, United Kingdom","September 10, 2000 (age 24)",Active,"Tank, DPS",Converse University,$791,"Sigma, Roadhog, Junker Queen","Overwatch, Overwatch 2"
Mayh3m,,,,,,,,,
Paradoxed,,,,,,,,,
Iszhtar,,"Peru, United States","December  9, 2001 (age 23)",Active,"Support, Coach",University of Texas at Dallas,$600,"Lúcio, Mercy, Baptiste","Overwatch, Overwatch 2"
Kronik,,United States,"April  6, 2004 (age 21)",Active,DPS,"Sign Esports, NTMR, Northwood University Blue","$8,006","Widowmaker, Sombra, Sojourn","Overwatch, Overwatch 2"
LukeWarm,,United States,"August  7, 2002 (age 22)",Active,DPS,,"$6,135","Sojourn, Tracer, Cassidy","Overwatch, Overwatch 2"
stone,,United States,"February  6, 2003 (age 22)",Active,DPS,Bellevue University,"$4,642","Tracer, Mei, Echo","Overwatch, Overwatch 2"
Taejong,Yoo Tae-jong,South Korea,"August  1, 2006 (age 18)",Active,DPS,ROC Esports,"$7,685","Tracer, Widowmaker, Genji",Overwatch 2
Stryder,,United States,"January 13, 2006 (age 19)",Active,Tank,Boise State University,"$6,745","Wrecking Ball, Mauga, Orisa","Overwatch, Overwatch 2"
Zholik,,Canada,"March 12, 1997 (age 28)",Active,"Support, Coach",,"$20,594","Mercy, Illari, Lúcio","Overwatch, Overwatch 2"
MagicM8Ball,,"Canada, Trinidad and Tobago","February  2, 2002 (age 23)",Active,"Support, Coach",,"$13,232","Lúcio, Brigitte, Baptiste","Overwatch, Overwatch 2"
Divinity,,United States,"November  8, 2002 (age 22)",Active,Support,Supernova,"$3,083","Kiriko, Ana, Zenyatta","Overwatch, Overwatch 2"
xten,,"Cambodia, United States","October 27, 2005 (age 19)",Active,DPS,Sakura Esports,"$5,185","Sojourn, Widowmaker, Ashe",Overwatch 2
Ryan,Ryan Abdullah,Saudi Arabia,,Retired,Support,,"$5,819","Zenyatta, Ana","Overwatch, Overwatch 2"
chime,,"United States, Puerto Rico","July 14, 2004 (age 21)",Retired,DPS,Dreamland,"$10,873","Pharah, Tracer, Mei","Overwatch, Overwatch 2"
Astronexz,,Canada,"May  7, 2005 (age 20)",Active,Tank,Supernova,"$11,776","Winston, Reinhardt, Orisa",Overwatch 2
cowman711,,United States,"July 11, 2002 (age 23)",Active,Tank,,"$39,716","Sigma, Zarya, D.Va","Overwatch, Overwatch 2"
Aniyun,Yunhee Chi,"United States, South Korea, China","June  8, 2004 (age 21)",Active,Support,,"$8,879","Baptiste, Ana, Kiriko","Overwatch, Overwatch 2"
Grapes,,United States,"November  6, 2002 (age 22)",Active,Support,"Supernova, Fisher College","$11,313","Lúcio, Baptiste, Brigitte","Overwatch, Overwatch 2"
Neb,,United States,"December 20, 2001 (age 23)",Retired,Support,,"$13,540","Baptiste, Brigitte, Lúcio","Overwatch, Overwatch 2"
Dove,,United States,"June 23, 2002 (age 23)",Retired,DPS,,"$19,135","Tracer, Widowmaker, Ashe","Overwatch, Overwatch 2"
Dynasty,,United States,"January 29, 2002 (age 23)",Retired,DPS,,"$32,057","Genji, Echo, Hanzo","Overwatch, Overwatch 2"
Tred,,United Kingdom,"June 10, 2005 (age 20)",Active,Tank,"Team Peps, St. Clair College","$16,149","D.Va, Doomfist, Winston","Overwatch, Overwatch 2"
Momentum,,United States,"September  9, 2004 (age 20)",Active,Support,,"$12,009","Lúcio, Brigitte, Mercy","Overwatch, Overwatch 2"
AJMR,,United States,"November  2, 2004 (age 20)",Active,"Support, DPS",,"$4,638","Baptiste, Sojourn, Ana","Overwatch, Overwatch 2"
Manually,,United States,"June 18, 2002 (age 23)",Active,DPS,"Dreamland, Bryant & Stratton College Virginia","$3,475","Sojourn, Widowmaker, Tracer","Overwatch, Overwatch 2"
TAP,,Netherlands,"November 27, 2000 (age 24)",Active,DPS,Rutgers University Scarlet Knights,"$11,345","Tracer, Echo, Genji","Overwatch, Overwatch 2"
Danny,Ho Chun-Wei,Taiwan,"October 24, 1993 (age 31)",Inactive,Caster,,"$4,506",,Overwatch
Erikek,,"Spain, Denmark","July 16, 2003 (age 22)",Active,Tank,,"$3,753","Winston, Ramattra, Sigma","Overwatch, Overwatch 2"
Zeb,,United States,"January 27, 2002 (age 23)",Active,Tank,Sakura Esports,"$6,162","Orisa, Sigma, Ramattra","Overwatch, Overwatch 2"
durpee,,United States,"February 12, 2002 (age 23)",Active,"Tank, Streamer",Geekay Esports,"$2,872","Reinhardt, Lúcio, Baptiste","Overwatch, Overwatch 2"
Jacob,,United States,"June 23, 2004 (age 21)",Active,Support,,"$3,828","Lúcio, Baptiste, Brigitte","Overwatch, Overwatch 2"
zman,,United States,"April 25, 2003 (age 22)",Active,Support,Sakura Esports,"$24,019","Baptiste, Kiriko, Ana","Overwatch, Overwatch 2"
Foreshadow,Hyo-hyun Park,"South Korea, Canada","March  6, 2002 (age 23)",Retired,DPS,,"$3,449","Cassidy, Widowmaker, Tracer","Overwatch, Overwatch 2"
adios,,,,,,,,,
SONNETiCA,Kunseo Yuk,"South Korea, United States","January 13, 2004 (age 21)",Active,"Coach, DPS",,$246,"Tracer, Echo, Venture","Overwatch, Overwatch 2"
Zelos,,,,,,,,,
HoJin,,"South Korea, Canada",,Active,"DPS, Support",Ohio State University,$650,,"Overwatch, Overwatch 2"
HowsYourDay,,,,,,,,,
Passenger,,Canada,2005 (age 19-20),Active,Support,,$654,"Baptiste, Kiriko, Zenyatta","Overwatch, Overwatch 2"
ugvuycfgb6,Lee Jeongwoo,South Korea,"August  2, 1999 (age 25)",Retired,DPS,,"$166,821","Widowmaker, Cassidy, Tracer","Overwatch, Overwatch 2"
Lyar,,United States,"October 30, 2000 (age 24)",Active,Support,Winthrop University,"$35,920","Lúcio, Baptiste, Brigitte","Overwatch, Overwatch 2"
Sloth,,United States,"November 21, 2003 (age 21)",Active,DPS,Fisher College,"$5,528","Ashe, Tracer, Hanzo","Overwatch, Overwatch 2"
nvm,,United States,"July  1, 2005 (age 20)",Active,DPS,Extinction,"$3,634","Tracer, Genji, Pharah",Overwatch 2
Niann03,,"Puerto Rico, United States","September  1, 2003 (age 21)",Retired,"Manager, Tank",,$729,"Ramattra, Sigma, Orisa",Overwatch 2
Axure,,Canada,"March 16, 2006 (age 19)",Active,Tank,"DhillDucks, St. Clair College","$1,812","Doomfist, Sigma, Zarya",Overwatch 2
velvet,,"United States, Philippines","February 11, 2006 (age 19)",Active,Support,Sakura Esports,"$4,203","Lúcio, Brigitte, Mercy",Overwatch 2
Hing3d,,United States,"April 18, 2001 (age 24)",Retired,Support,,"$1,825","Lúcio, Brigitte, Baptiste","Overwatch, Overwatch 2"
skier,,"United States, Portugal",,Active,"Support, DPS",,"$2,129","Kiriko, Baptiste, Zenyatta","Overwatch, Overwatch 2"
Seeker,,"Canada, United States","August  7, 2004 (age 20)",Active,DPS,Spacestation Gaming,"$35,853","Sojourn, Widowmaker, Bastion","Overwatch, Overwatch 2"
zeruhh,,"United States, Ecuador","September 27, 2006 (age 18)",Active,"DPS, Coach","Team Liquid, Winthrop University","$36,021","Genji, Tracer, Reaper","Overwatch, Overwatch 2"
WMaimone,,"Wales, United Kingdom","April 26, 2004 (age 21)",Active,DPS,Geekay Esports,"$49,527","Tracer, Echo, Sombra","Overwatch, Overwatch 2"
ariel2,,Israel,"May  1, 2004 (age 21)",Active,Tank,,"$7,715","D.Va, Sigma, Ramattra","Overwatch, Overwatch 2"
Lep,,"United States, Argentina","July 30, 2002 (age 23)",Active,"Support, Coach","Sign Esports, NTMR, Northwood University Blue","$30,546","Lúcio, Brigitte, Mercy","Overwatch, Overwatch 2"
Renko,,,,,,,,,
Aniyun,,,,,,,,,
Tristan,,,,,,,,,
Reyzr,,,,,,,,,
Emmeryn,,,,,,,,,
Crime,,,,,,,,,
baz,,,,,,,,,
redex,,,,,,,,,
Bagel,,Canada,"November 13, 2002 (age 22)",,Support,,"$1,815","Lúcio, Baptiste, Brigitte","Overwatch, Overwatch 2"
FrothyFilly7,,United States,"May 18, 2004 (age 21)",Active,Support,DhillDucks,"$1,725","Kiriko, Baptiste, Ana","Overwatch, Overwatch 2"
Amadien,,United States,,Active,DPS,,"$4,378","Tracer, Widowmaker, Cassidy","Overwatch, Overwatch 2"
Lampent,,United States,"August 26, 2004 (age 20)",Active,DPS,,$955,"Genji, Echo, Tracer",Overwatch 2
karmez,,United States,,Active,"Manager, DPS","DhillDucks, Young and Beautiful","$1,886","Pharah, Venture, Junkrat","Overwatch, Overwatch 2"
Lava,,"United States, China","August  4, 2003 (age 21)",Active,"Coach, Tank",Ohio State University,$754,"Reinhardt, Winston, Wrecking Ball","Overwatch, Overwatch 2"
zhulander,,"United States, China","August 13, 2003 (age 21)",Active,"Coach, Support",,"$1,461","Lúcio, Brigitte, Lifeweaver","Overwatch, Overwatch 2"
TwoFish,,United States,"September 27, 2001 (age 23)",Active,Support,,$672,"Baptiste, Kiriko, Lúcio","Overwatch, Overwatch 2"
Shocker,,United States,"April  6, 2004 (age 21)",Retired,Support,,$781,"Baptiste, Zenyatta, Kiriko","Overwatch, Overwatch 2"
massivepoop,,,,,,,,,
AMADOU,,"Canada, Senegal",,Active,"DPS, Flex",,"$3,320","Widowmaker, Sojourn, Cassidy","Overwatch, Overwatch 2"
Lethal,,Turkey,"October  1, 2002 (age 22)",Active,DPS,Geekay Esports,"$63,887","Ashe, Widowmaker, Cassidy","Overwatch, Overwatch 2"
Astro,,United States,,Retired,Manager,,,,Overwatch 2
Neutral,,United States,"May  4, 2003 (age 22)",Active,Support,Rutgers University Scarlet Knights,"$8,219","Zenyatta, Kiriko, Baptiste","Overwatch, Overwatch 2"
Rymazing,,United States,"September 23, 2003 (age 21)",Retired,DPS,,"$2,414","Sojourn, Tracer, Genji","Overwatch, Overwatch 2"
Aspect,,Canada,"July 16, 2003 (age 22)",Active,"Coach, Tank",University of Toronto,"$1,658","D.Va, Sigma, Junker Queen","Overwatch, Overwatch 2"
Unread,Oh Nam-hun,South Korea,,Retired,Coach,,,,
Fl4k,,United States,"July  2, 2003 (age 22)",Active,"Manager, DPS",NTMR,$207,,"Overwatch, Overwatch 2"
BastionMain,,,,,,,,,
Heavenly,,,,,,,,,
kyidk,,,,,,,,,
Dirt,,"Turkey, United States","July 13, 2005 (age 20)",Active,Tank,,$701,"Roadhog, Junker Queen, Hazard","Overwatch, Overwatch 2"
salamiboi200,,"Saudi Arabia, United States",,Active,Support,,$247,,Overwatch 2
K0RTAL,,United States,"April  5, 2004 (age 21)",Active,"Manager, Support",NTMR,$211,"Brigitte, Lifeweaver, Lúcio",Overwatch 2
Schwartzy,,,,,,,,,
MirroR,,"Vietnam, United States","October 14, 2001 (age 23)",Active,Flex,,"$58,746","Doomfist, Zarya, Illari","Overwatch, Overwatch 2"
Haven,Lee Yeong-min,South Korea,"February 19, 1999 (age 26)",Retired,DPS,,"$2,413","Sombra, Tracer, Pharah",Overwatch
peace,,United States,"June 17, 2003 (age 22)",Active,DPS,"Sakura Esports, Bryant & Stratton College Virginia","$9,246","Genji, Echo, Hanzo","Overwatch, Overwatch 2"
Ryan,Ryan Abdullah,Saudi Arabia,,Retired,Support,,"$5,819","Zenyatta, Ana","Overwatch, Overwatch 2"
cowman711,,United States,"July 11, 2002 (age 23)",Active,Tank,,"$39,716","Sigma, Zarya, D.Va","Overwatch, Overwatch 2"
Hanbei,,United States,"April  3, 2003 (age 22)",Active,Support,Dreamland,"$5,828","Zenyatta, Ana, Moira","Overwatch, Overwatch 2"
Neb,,United States,"December 20, 2001 (age 23)",Retired,Support,,"$13,540","Baptiste, Brigitte, Lúcio","Overwatch, Overwatch 2"
Paintbrush,,United States,"March 19, 1996 (age 29)",Retired,Support,,"$22,841","Lúcio, Mercy, Brigitte","Overwatch, Overwatch 2"
Putter,,,,,,,,,
Dynamic,,,,,,,,,
Faded,,,,,,,,,
Meman,,,,,,,,,
BallerSteve,,,,,,,,,
Bizz,,,,,,,,,
azruf,,,,,,,,,
dust,,,,,,,,,
GoldFish,,,,,,,,,
reverse,,,,,,,,,
Someone,,,,,,,,,
PGE,,,,,,,,,
scissors,,,,,,,,,
TR33,,,,,,,,,
Kellan,,,,,,,,,
Attack,,,,,,,,,
Rakattack,,,,,,,,,
cal,,,,,,,,,
UltraViolet,,,,,,,,,
Kronik,,,,,,,,,
TAP,,,,,,,,,
stone,,,,,,,,,
Zeb,,,,,,,,,
Stryder,,,,,,,,,
Jacob,,,,,,,,,
Neutral,,,,,,,,,
Seeker,,,,,,,,,
Lethal,,,,,,,,,
zeruhh,,,,,,,,,
Infekted,,,,,,,,,
CLEAR,,,,,,,,,
Admiral,,,,,,,,,
Cjay,,,,,,,,,
zss,,,,,,,,,
Doomed,,,,,,,,,
Vision,,,,,,,,,
cuFFa,,,,,,,,,
Lukemino,,,,,,,,,
squid,,,,,,,,,
AMADOU,,,,,,,,,
Ryan,,,,,,,,,
Tristan,,,,,,,,,
Rokit,,,,,,,,,
Chopper,,,,,,,,,
k1ng,,,,,,,,,
iCy,,,,,,,,,
Lep,,,,,,,,,
Renko,,,,,,,,,
Sloth,,,,,,,,,
wsps,,,,,,,,,
Eve,,,,,,,,,
pela,,,,,,,,,
TwolzZ,,,,,,,,,
NenWhy,,,,,,,,,
skier,,,,,,,,,
Bun,,,,,,,,,
xten,,,,,,,,,
sawhill,,,,,,,,,
sniper,,,,,,,,,
Halo,,,,,,,,,
scuffed,,,,,,,,,
Jman,,,,,,,,,
Anhoo,,,,,,,,,
Aurora,,,,,,,,,
Scylla,,,,,,,,,
Anghell1c,,,,,,,,,
zPanthr,,,,,,,,,
pdk,,,,,,,,,
Haven,,,,,,,,,
chime,,,,,,,,,
Astro,,,,,,,,,
Grapes,,,,,,,,,
Divinity,,,,,,,,,
Prota,,,,,,,,,
Bizz,,,,,,,,,
NOS,,,,,,,,,
dust,,,,,,,,,
Krawi,,,,,,,,,
Yimitra,,,,,,,,,
zhulander,,,,,,,,,
Aniyun,,,,,,,,,
GoldFish,,,,,,,,,
Excal,,,,,,,,,
Talisman,,,,,,,,,
peace,,,,,,,,,
Painkiller,,,,,,,,,
lenn,,,,,,,,,
Hanbei,,,,,,,,,
JUTSU,,,,,,,,,
Rymazing,,,,,,,,,
Karova,,,,,,,,,
Salmon,,,,,,,,,
Day,,,,,,,,,
T3MP,,,,,,,,,
Lich,,,,,,,,,
Aresona,,,,,,,,,
SoloZen,,,,,,,,,
Social,,,,,,,,,
Moncholo,,,,,,,,,
Soulsay,,,,,,,,,
Anderp,,,,,,,,,
MonkeyHappy,,,,,,,,,
UnluckyMain,,,,,,,,,
ross,,,,,,,,,
KiWii,,,,,,,,,
seeker,,,,,,,,,
Kronik,,,,,,,,,
Doomed,,,,,,,,,
cuFFa,,,,,,,,,
Lukemino,,,,,,,,,
Vision,,,,,,,,,
Raikker,,,,,,,,,
Lyar,,,,,,,,,
squid,,,,,,,,,
Sugureru,,,,,,,,,
elva,,,,,,,,,
Romani,,,,,,,,,
Otters,,,,,,,,,
khd,,,,,,,,,
K41,,,,,,,,,
wsps,,,,,,,,,
Ryan,,,,,,,,,
Astronexz,,,,,,,,,
Renko,,,,,,,,,
Taejong,Yoo Tae-jong,South Korea,"August  1, 2006 (age 18)",Active,DPS,ROC Esports,"$7,685","Tracer, Widowmaker, Genji",Overwatch 2
SeonJun,Park Seon-jun,South Korea,"March 23, 2006 (age 19)",Active,"DPS, Tank",All Gamers Global,"$14,871","Tracer, Genji, Venture","Overwatch, Overwatch 2"
Lampent,,United States,"August 26, 2004 (age 20)",Active,DPS,,$955,"Genji, Echo, Tracer",Overwatch 2
m5ri,,United States,"August 18, 2004 (age 20)",Active,Tank,,"$5,940","Junker Queen, Sigma, Doomfist","Overwatch, Overwatch 2"
Aniyun,Yunhee Chi,"United States, South Korea, China","June  8, 2004 (age 21)",Active,Support,,"$8,879","Baptiste, Ana, Kiriko","Overwatch, Overwatch 2"
Jman,,United States,"August 18, 2004 (age 20)",Active,DPS,"Shikigami, Arizona State University",$953,"Sojourn, Ashe, Cassidy","Overwatch, Overwatch 2"
Anhoo,,United States,"June 21, 2004 (age 21)",Active,DPS,Arizona State University,"$1,694","Genji, Mei, Echo","Overwatch, Overwatch 2"
Aurora,,"Egypt, United States","January 19, 2005 (age 20)",Active,Tank,Arizona State University,$903,"Sigma, Winston, Junker Queen","Overwatch, Overwatch 2"
Soax,,Germany,"July 31, 2003 (age 21)",Active,Support,"0907, St. Clair College","$2,402","Brigitte, Mercy, Lúcio","Overwatch, Overwatch 2"
zPanthr,,United States,"April 14, 2002 (age 23)",Active,Support,"Shikigami, Arizona State University","$1,158","Ana, Kiriko, Baptiste","Overwatch, Overwatch 2"
ACETKILLER,,,,,,,,,
Putter,,United States,"December 19, 2000 (age 24)",Active,DPS,,$274,"Tracer, Cassidy, Ashe","Overwatch, Overwatch 2"
Cyber,,United States,"March 25, 2003 (age 22)",Active,Tank,,"$1,951","Winston, Reinhardt, Ramattra","Overwatch, Overwatch 2"
Fidel,,,,,,,,,
Narwhal,,United States,"August  8, 2003 (age 21)",Active,Support,Dreamland,"$1,544","Lúcio, Brigitte, Lifeweaver","Overwatch, Overwatch 2"
Passenger,,Canada,2005 (age 19-20),Active,Support,,$654,"Baptiste, Kiriko, Zenyatta","Overwatch, Overwatch 2"
Meman,,United States,"May 16, 2000 (age 25)",Retired,Support,,"$1,582","Kiriko, Baptiste, Ana","Overwatch, Overwatch 2"
Danny,Ho Chun-Wei,Taiwan,"October 24, 1993 (age 31)",Inactive,Caster,,"$4,506",,Overwatch
