hero_name,type,name,description,attribute,attribute_detail
Orisa,Ability,SuperchargerQ,Orisa deploys a device to increase damage inflicted by allies within her line of sight.,cast time,0.4 seconds (spawning Supercharger projectile)
Orisa,Ability,SuperchargerQ,Orisa deploys a device to increase damage inflicted by allies within her line of sight.,duration,15 seconds
Orisa,Ability,SuperchargerQ,Orisa deploys a device to increase damage inflicted by allies within her line of sight.,area of effect,25 meter radius
Orisa,Ability,SuperchargerQ,Orisa deploys a device to increase damage inflicted by allies within her line of sight.,projectile speed,7 meters per second (horizontal)
Ramattra,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,health,150
Ramattra,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,dmg. reduction,-25% taken
Ramattra,Ability,Void Accelerator,Fire a stream of projectiles.,damage,5
Ramattra,Ability,Void Accelerator,Fire a stream of projectiles.,headshot,✓ (x2)
Ramattra,Ability,Void Accelerator,Fire a stream of projectiles.,rate of fire,25 shots/s
Ramattra,Ability,Void Accelerator,Fire a stream of projectiles.,ammo,100
Ramattra,Ability,Void Accelerator,Fire a stream of projectiles.,reload time,1 second
Ramattra,Ability,Void Accelerator,Fire a stream of projectiles.,projectile speed,80 m/s
Ramattra,Ability,Void Accelerator,Fire a stream of projectiles.,projectile radius,0.15 meters
Ramattra,Ability,Void Barrier,Create a barrier at the targeted location.,barrier health,1000
Ramattra,Ability,Void Barrier,Create a barrier at the targeted location.,cast time,0.03 + 0.5 seconds
Ramattra,Ability,Void Barrier,Create a barrier at the targeted location.,duration,4 seconds
Ramattra,Ability,Void Barrier,Create a barrier at the targeted location.,max. range,35 meters
Ramattra,Ability,Void Barrier,Create a barrier at the targeted location.,cooldown,13 seconds
Ramattra,Ability,Nemesis FormLSHIFT,"Transform into Nemesis Form, changing your attacks and gaining bonus armor.",armor,300
Ramattra,Ability,Nemesis FormLSHIFT,"Transform into Nemesis Form, changing your attacks and gaining bonus armor.",cast time,0 + 0.5 seconds
Ramattra,Ability,Nemesis FormLSHIFT,"Transform into Nemesis Form, changing your attacks and gaining bonus armor.",duration,8 seconds
Ramattra,Ability,Nemesis FormLSHIFT,"Transform into Nemesis Form, changing your attacks and gaining bonus armor.",mov. speed buff,+20%
Ramattra,Ability,PummelLSHIFT,"Punch, creating a wave of piercing energy with every swing.",damage,65
Ramattra,Ability,PummelLSHIFT,"Punch, creating a wave of piercing energy with every swing.",headshot,✕
Ramattra,Ability,PummelLSHIFT,"Punch, creating a wave of piercing energy with every swing.",rate of fire,1.67 shots/s
Ramattra,Ability,PummelLSHIFT,"Punch, creating a wave of piercing energy with every swing.",ammo,∞
Ramattra,Ability,PummelLSHIFT,"Punch, creating a wave of piercing energy with every swing.",max. range,10.5 meters
Ramattra,Ability,PummelLSHIFT,"Punch, creating a wave of piercing energy with every swing.",projectile speed,105 m/s
Ramattra,Ability,PummelLSHIFT,"Punch, creating a wave of piercing energy with every swing.",projectile radius,0.575 meters
Ramattra,Ability,BlockLSHIFT,Significantly reduces damage taken from the front and reduces movement speed.,dmg. reduction,-75% taken
Ramattra,Ability,BlockLSHIFT,Significantly reduces damage taken from the front and reduces movement speed.,cast time,0 + 0.3 seconds
Ramattra,Ability,BlockLSHIFT,Significantly reduces damage taken from the front and reduces movement speed.,duration,0.2 seconds (min)
Ramattra,Ability,BlockLSHIFT,Significantly reduces damage taken from the front and reduces movement speed.,mov. speed penalty,-50%
Ramattra,Ability,Ravenous VortexE,"Fire a sphere of energy that creates a slowing vortex on the ground, damaging enemies within and pulling them downward.",damage,23.3 per second70 total
Ramattra,Ability,Ravenous VortexE,"Fire a sphere of energy that creates a slowing vortex on the ground, damaging enemies within and pulling them downward.",headshot,✕
Ramattra,Ability,Ravenous VortexE,"Fire a sphere of energy that creates a slowing vortex on the ground, damaging enemies within and pulling them downward.",cast time,0.5 + 0.4 seconds
Ramattra,Ability,Ravenous VortexE,"Fire a sphere of energy that creates a slowing vortex on the ground, damaging enemies within and pulling them downward.",duration,3 seconds
Ramattra,Ability,Ravenous VortexE,"Fire a sphere of energy that creates a slowing vortex on the ground, damaging enemies within and pulling them downward.",area of effect,4 meter radius ~8 meter height
Ramattra,Ability,Ravenous VortexE,"Fire a sphere of energy that creates a slowing vortex on the ground, damaging enemies within and pulling them downward.",movement slow,-40%
Ramattra,Ability,Ravenous VortexE,"Fire a sphere of energy that creates a slowing vortex on the ground, damaging enemies within and pulling them downward.",projectile speed,30 m/s
Ramattra,Ability,Ravenous VortexE,"Fire a sphere of energy that creates a slowing vortex on the ground, damaging enemies within and pulling them downward.",projectile radius,None
Ramattra,Ability,Ravenous VortexE,"Fire a sphere of energy that creates a slowing vortex on the ground, damaging enemies within and pulling them downward.",cooldown,11 seconds
Ramattra,Ability,AnnihilationQ,"Enter Nemesis Form and create a deadly swarm that lashes out at nearby enemies, persisting longer when damaging enemies.",damage,30 per second
Ramattra,Ability,AnnihilationQ,"Enter Nemesis Form and create a deadly swarm that lashes out at nearby enemies, persisting longer when damaging enemies.",headshot,✕
Ramattra,Ability,AnnihilationQ,"Enter Nemesis Form and create a deadly swarm that lashes out at nearby enemies, persisting longer when damaging enemies.",cast time,0 + 0.5 seconds (Omnic form)None (Nemesis form)
Ramattra,Ability,AnnihilationQ,"Enter Nemesis Form and create a deadly swarm that lashes out at nearby enemies, persisting longer when damaging enemies.",duration,3 - 20 seconds
Ramattra,Ability,AnnihilationQ,"Enter Nemesis Form and create a deadly swarm that lashes out at nearby enemies, persisting longer when damaging enemies.",area of effect,13 meter radius
Ramattra,Perk,Void Surge,Void Accelerator periodically releases a burst of 6 additional projectiles during continuous fire.,damage,5 (per pellet)30 (per burst)
Ramattra,Perk,Void Surge,Void Accelerator periodically releases a burst of 6 additional projectiles during continuous fire.,headshot,✕
Ramattra,Perk,Void Surge,Void Accelerator periodically releases a burst of 6 additional projectiles during continuous fire.,bullets per shot,6
Ramattra,Perk,Void Surge,Void Accelerator periodically releases a burst of 6 additional projectiles during continuous fire.,spread angle,4.4 degrees
Ramattra,Perk,Prolonged Barrier,Void Barrier's duration and size is increased by 25%.,duration,5 seconds
Ramattra,Perk,Nanite Repair,Ramattra is healed for 75 health per second while within Ravenous Vortex.,healing,75/s
Ramattra,Perk,Vengeful Vortex,"While Ravenous Vortex is airborne, use E again to detonate it, dealing 50 damage and pulling enemies downward.",damage,50
Ramattra,Perk,Vengeful Vortex,"While Ravenous Vortex is airborne, use E again to detonate it, dealing 50 damage and pulling enemies downward.",headshot,✕
Ramattra,Perk,Vengeful Vortex,"While Ravenous Vortex is airborne, use E again to detonate it, dealing 50 damage and pulling enemies downward.",area of effect,6 meter radius
Reinhardt,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,health,150
Reinhardt,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,dmg. reduction,-25% taken
Reinhardt,Ability,Rocket Hammer,Devastating melee weapon.,damage,100
Reinhardt,Ability,Rocket Hammer,Devastating melee weapon.,headshot,✕
Reinhardt,Ability,Rocket Hammer,Devastating melee weapon.,rate of fire,1.04 shots/s
Reinhardt,Ability,Rocket Hammer,Devastating melee weapon.,cast time,0.4 + 0.5 seconds
Reinhardt,Ability,Rocket Hammer,Devastating melee weapon.,duration,0.208 seconds (hitbox active)
Reinhardt,Ability,Rocket Hammer,Devastating melee weapon.,max. range,5 meters
Reinhardt,Ability,Barrier Field,Hold  to deploy a frontal energy barrier.,barrier health,1500
Reinhardt,Ability,Barrier Field,Hold  to deploy a frontal energy barrier.,cast time,0.1 + 0.29 seconds
Reinhardt,Ability,Barrier Field,Hold  to deploy a frontal energy barrier.,area of effect,Height: 4.250 metersWidth: 6.800 meters.
Reinhardt,Ability,Barrier Field,Hold  to deploy a frontal energy barrier.,mov. speed penalty,-30%
Reinhardt,Ability,ChargeLSHIFT,Charge forward and smash an enemy against a wall.,damage,300 (pinned to wall)50 (collision w/out pin)
Reinhardt,Ability,ChargeLSHIFT,Charge forward and smash an enemy against a wall.,headshot,✕
Reinhardt,Ability,ChargeLSHIFT,Charge forward and smash an enemy against a wall.,cast time,0.6 + 0.5 seconds (wall impact)0.6 + 0.1 seconds (canceled)
Reinhardt,Ability,ChargeLSHIFT,Charge forward and smash an enemy against a wall.,duration,"3 seconds (charge, max)0.3 seconds (charge, min)0.65 seconds (stun on wall hit)"
Reinhardt,Ability,ChargeLSHIFT,Charge forward and smash an enemy against a wall.,max. range,50.2 meters
Reinhardt,Ability,ChargeLSHIFT,Charge forward and smash an enemy against a wall.,mov. speed buff,+200%
Reinhardt,Ability,ChargeLSHIFT,Charge forward and smash an enemy against a wall.,knockback speed,31.2 m/s (indirect hit)11 m/s (canceled pin)
Reinhardt,Ability,Fire StrikeE,Launch a fiery projectile.,damage,120
Reinhardt,Ability,Fire StrikeE,Launch a fiery projectile.,headshot,✕
Reinhardt,Ability,Fire StrikeE,Launch a fiery projectile.,cast time,0.5 + 0.45 seconds
Reinhardt,Ability,Fire StrikeE,Launch a fiery projectile.,projectile speed,30 m/s
Reinhardt,Ability,Fire StrikeE,Launch a fiery projectile.,projectile radius,0.85 meters
Reinhardt,Ability,EarthshatterQ,Knock down all enemies in front of you.,damage,"50 (base)150 (close range bonus, <1.75m)"
Reinhardt,Ability,EarthshatterQ,Knock down all enemies in front of you.,headshot,✕
Reinhardt,Ability,EarthshatterQ,Knock down all enemies in front of you.,cast time,0.4 + 0.5 seconds
Reinhardt,Ability,EarthshatterQ,Knock down all enemies in front of you.,duration,3 seconds (knockdown)
Reinhardt,Ability,EarthshatterQ,Knock down all enemies in front of you.,area of effect,25 meters radius~54 degrees arc1.770 meters height
Reinhardt,Ability,EarthshatterQ,Knock down all enemies in front of you.,projectile speed,40 m/s
Reinhardt,Perk,Crusader's Fire,"Refund a charge of Fire Strike When you stun an enemy, overfilling up to 3.",,
Reinhardt,Perk,Crusader's Resolve,"While using Barrier Field, your passive health regeneration triggers 75% sooner.",,
Reinhardt,Perk,Shield Slam,"While Barrier Field is active, use Primary Fire to damage and knockback enemies.",damage,50
Reinhardt,Perk,Shield Slam,"While Barrier Field is active, use Primary Fire to damage and knockback enemies.",headshot,✕
Reinhardt,Perk,Shield Slam,"While Barrier Field is active, use Primary Fire to damage and knockback enemies.",max. range,5.52 meters (dash)3.6 meters (hitbox)
Reinhardt,Perk,Shield Slam,"While Barrier Field is active, use Primary Fire to damage and knockback enemies.",movement speed,17.6 m/s
Reinhardt,Perk,Shield Slam,"While Barrier Field is active, use Primary Fire to damage and knockback enemies.",knockback speed,12.5 m/s
Reinhardt,Perk,Shield Slam,"While Barrier Field is active, use Primary Fire to damage and knockback enemies.",cooldown,6 seconds
Reinhardt,Perk,Crushing Victory,Charge damage grants temporary overhealth for 100% of the damage dealt.,overhealth,100% of Charge damage dealt
Reinhardt,Perk,Crushing Victory,Charge damage grants temporary overhealth for 100% of the damage dealt.,duration,5 seconds
Reinhardt,Ability,Steadfast,Resistant to knock back effects.,,
Reinhardt,Perk,Fiery Uptake,Barrier Field is healed for 100% of Fire Strike's damage dealt.,,
Roadhog,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,health,150
Roadhog,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,dmg. reduction,-25% taken
Roadhog,Ability,Scrap Gun,Short-range spread weapon with a medium-range shrapnel volley.,damage,6.25 – 1.88 (per pellet)15 – 4.5 (per shrapnel)160 – 48 (per shot)
Roadhog,Ability,Scrap Gun,Short-range spread weapon with a medium-range shrapnel volley.,falloff range,30 – 50 meters
Roadhog,Ability,Scrap Gun,Short-range spread weapon with a medium-range shrapnel volley.,headshot,✓ (x1.5)
Roadhog,Ability,Scrap Gun,Short-range spread weapon with a medium-range shrapnel volley.,rate of fire,1.25 shots/s
Roadhog,Ability,Scrap Gun,Short-range spread weapon with a medium-range shrapnel volley.,bullets per shot,16 (pellets)4 (shrapnels)
Roadhog,Ability,Scrap Gun,Short-range spread weapon with a medium-range shrapnel volley.,ammo consumption,1
Roadhog,Ability,Scrap Gun,Short-range spread weapon with a medium-range shrapnel volley.,ammo,6
Roadhog,Ability,Scrap Gun,Short-range spread weapon with a medium-range shrapnel volley.,reload time,1.75 seconds animation
Roadhog,Ability,Scrap Gun,Short-range spread weapon with a medium-range shrapnel volley.,spread angle,20.1 degrees
Roadhog,Ability,Scrap Gun,Short-range spread weapon with a medium-range shrapnel volley.,projectile speed,80 m/s
Roadhog,Ability,Scrap Gun,Short-range spread weapon with a medium-range shrapnel volley.,projectile radius,0.05 meters (pellets)0.15 meters (shrapnels)
Roadhog,Ability,Take a Breather,Heal yourself and reduce damage taken.,healing,180 per second
Roadhog,Ability,Take a Breather,Heal yourself and reduce damage taken.,dmg. reduction,-40% taken
Roadhog,Ability,Take a Breather,Heal yourself and reduce damage taken.,cast time,0.21 + 0.54 seconds
Roadhog,Ability,Take a Breather,Heal yourself and reduce damage taken.,duration,0.55 seconds (min)2.5 seconds (max)
Roadhog,Ability,Chain HookLSHIFT,Drag a targeted enemy to you.,damage,5
Roadhog,Ability,Chain HookLSHIFT,Drag a targeted enemy to you.,headshot,✕
Roadhog,Ability,Chain HookLSHIFT,Drag a targeted enemy to you.,cast time,0.1 + 0.2 seconds
Roadhog,Ability,Chain HookLSHIFT,Drag a targeted enemy to you.,duration,0.5 seconds (min)
Roadhog,Ability,Chain HookLSHIFT,Drag a targeted enemy to you.,max. range,20 meters
Roadhog,Ability,Chain HookLSHIFT,Drag a targeted enemy to you.,mov. speed penalty,-50%
Roadhog,Ability,Chain HookLSHIFT,Drag a targeted enemy to you.,knockback speed,40 m/s
Roadhog,Ability,Chain HookLSHIFT,Drag a targeted enemy to you.,projectile speed,62 m/s
Roadhog,Ability,Chain HookLSHIFT,Drag a targeted enemy to you.,projectile radius,0.5 meter radius (vs enemy)None (vs wall or barrier)
Roadhog,Ability,Pig PenE,Launch a trap that slows and damages nearby enemies.,damage,60 (initial)45/s (periodic)195 (total)
Roadhog,Ability,Pig PenE,Launch a trap that slows and damages nearby enemies.,headshot,✕
Roadhog,Ability,Pig PenE,Launch a trap that slows and damages nearby enemies.,health,100
Roadhog,Ability,Pig PenE,Launch a trap that slows and damages nearby enemies.,cast time,0.14 + 0.4 seconds
Roadhog,Ability,Pig PenE,Launch a trap that slows and damages nearby enemies.,duration,0.8 seconds (arming delay)3 seconds (slow)
Roadhog,Ability,Pig PenE,Launch a trap that slows and damages nearby enemies.,max. range,8.2 meters (straight forward)13.5 meters (at 35° angle)
Roadhog,Ability,Pig PenE,Launch a trap that slows and damages nearby enemies.,area of effect,2.5 meter radius (trigger)4 meter radius (slow area)
Roadhog,Ability,Pig PenE,Launch a trap that slows and damages nearby enemies.,movement slow,-40%
Roadhog,Ability,Pig PenE,Launch a trap that slows and damages nearby enemies.,projectile speed,27 m/s
Roadhog,Ability,Pig PenE,Launch a trap that slows and damages nearby enemies.,projectile radius,None
Roadhog,Ability,Whole HogQ,Damage and knock back enemies in front of you.,damage,6 – 1.8
Roadhog,Ability,Whole HogQ,Damage and knock back enemies in front of you.,falloff range,30 – 40 meters
Roadhog,Ability,Whole HogQ,Damage and knock back enemies in front of you.,headshot,✓ (x2)
Roadhog,Ability,Whole HogQ,Damage and knock back enemies in front of you.,rate of fire,8 shots/s
Roadhog,Ability,Whole HogQ,Damage and knock back enemies in front of you.,bullets per shot,16 per shot
Roadhog,Ability,Whole HogQ,Damage and knock back enemies in front of you.,cast time,0.5 + 1 seconds
Roadhog,Ability,Whole HogQ,Damage and knock back enemies in front of you.,duration,7.5 seconds
Roadhog,Ability,Whole HogQ,Damage and knock back enemies in front of you.,spread angle,~40 degrees (horizontal)~3 degrees (vertical)
Roadhog,Ability,Whole HogQ,Damage and knock back enemies in front of you.,mov. speed penalty,-25%
Roadhog,Ability,Whole HogQ,Damage and knock back enemies in front of you.,knockback speed,16 m/s (knockback)
Roadhog,Ability,Whole HogQ,Damage and knock back enemies in front of you.,projectile radius,0.04 meters
Roadhog,Perk,Scrap Hook,Chain Hook hits reload 2 ammo.,,
Roadhog,Perk,Pent Up,"When Pig Pen is triggered, refill 50% Take A Breather resource which can overfill.",,
Roadhog,Perk,Invigorate,Take A Breather rapidly increases Roadhog's movement speed by 30%.,mov. speed buff,+30%
Roadhog,Perk,Hogdrogen Exposure,Take A Breather also heals nearby allies for 50% of its healing.,healing,80/s
Roadhog,Perk,Hogdrogen Exposure,Take A Breather also heals nearby allies for 50% of its healing.,area of effect,10 meter radius
Roadhog,Perk,Hog Toss,Pig Pen's throw range is increased by 50% and damage is increased by 25%.,damage,75 (initial)56.25/s (periodic)238.8 (total)
Roadhog,Perk,Hog Toss,Pig Pen's throw range is increased by 50% and damage is increased by 25%.,headshot,✕
Roadhog,Perk,Hog Toss,Pig Pen's throw range is increased by 50% and damage is increased by 25%.,max. range,15.2 meters (straight forward)29 meters (at 35° angle)
Roadhog,Perk,Hog Toss,Pig Pen's throw range is increased by 50% and damage is increased by 25%.,projectile speed,40 m/s
Sigma,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,health,150
Sigma,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,dmg. reduction,-25% taken
Sigma,Ability,Hyperspheres,"Launch two charges which implode after a short duration, dealing damage in an area.",damage,"15 (direct hit)40 – 12 (splash, enemy)"
Sigma,Ability,Hyperspheres,"Launch two charges which implode after a short duration, dealing damage in an area.",headshot,✕
Sigma,Ability,Hyperspheres,"Launch two charges which implode after a short duration, dealing damage in an area.",rate of fire,0.67 shots/s
Sigma,Ability,Hyperspheres,"Launch two charges which implode after a short duration, dealing damage in an area.",bullets per shot,2
Sigma,Ability,Hyperspheres,"Launch two charges which implode after a short duration, dealing damage in an area.",ammo,∞
Sigma,Ability,Hyperspheres,"Launch two charges which implode after a short duration, dealing damage in an area.",max. range,22 meters
Sigma,Ability,Hyperspheres,"Launch two charges which implode after a short duration, dealing damage in an area.",area of effect,3 meter implosion radius
Sigma,Ability,Hyperspheres,"Launch two charges which implode after a short duration, dealing damage in an area.",knockback speed,1.1 m/s (enemy)0.7 m/s (self)
Sigma,Ability,Hyperspheres,"Launch two charges which implode after a short duration, dealing damage in an area.",projectile speed,48 m/s
Sigma,Ability,Hyperspheres,"Launch two charges which implode after a short duration, dealing damage in an area.",projectile radius,0.32 meters
Sigma,Ability,Experimental Barrier,Hold to propel a floating barrier; release to stop. Press again to recall the barrier to you.,barrier health,700
Sigma,Ability,Experimental Barrier,Hold to propel a floating barrier; release to stop. Press again to recall the barrier to you.,cast time,0.03 + 0 seconds
Sigma,Ability,Experimental Barrier,Hold to propel a floating barrier; release to stop. Press again to recall the barrier to you.,duration,Until recalled or destroyed
Sigma,Ability,Experimental Barrier,Hold to propel a floating barrier; release to stop. Press again to recall the barrier to you.,max. range,∞
Sigma,Ability,Experimental Barrier,Hold to propel a floating barrier; release to stop. Press again to recall the barrier to you.,area of effect,4.5 meters height5 meters width at the poles6.5 meters width at the middle
Sigma,Ability,Experimental Barrier,Hold to propel a floating barrier; release to stop. Press again to recall the barrier to you.,projectile speed,20 m/s
Sigma,Ability,Kinetic GraspLSHIFT,Absorb projectiles in front of you and convert them into extra health.,overhealth,60% of damage absorbed (400 max)
Sigma,Ability,Kinetic GraspLSHIFT,Absorb projectiles in front of you and convert them into extra health.,cast time,0.05 + 0.5 seconds
Sigma,Ability,Kinetic GraspLSHIFT,Absorb projectiles in front of you and convert them into extra health.,duration,2 seconds
Sigma,Ability,Kinetic GraspLSHIFT,Absorb projectiles in front of you and convert them into extra health.,max. range,3 meters
Sigma,Ability,AccretionE,Gather a mass of debris and throw it at an enemy to knock them down.,damage,"80 (direct)40 – 12 (splash, enemy)20 – 6 (splash, self)"
Sigma,Ability,AccretionE,Gather a mass of debris and throw it at an enemy to knock them down.,headshot,✕
Sigma,Ability,AccretionE,Gather a mass of debris and throw it at an enemy to knock them down.,cast time,0.64 + 0 seconds
Sigma,Ability,AccretionE,Gather a mass of debris and throw it at an enemy to knock them down.,duration,1.1 seconds (knockdown)
Sigma,Ability,AccretionE,Gather a mass of debris and throw it at an enemy to knock them down.,area of effect,2.5 meter explosion radius
Sigma,Ability,AccretionE,Gather a mass of debris and throw it at an enemy to knock them down.,mov. speed penalty,-75%
Sigma,Ability,AccretionE,Gather a mass of debris and throw it at an enemy to knock them down.,knockback speed,"10.9 m/s (enemy, direct)4.3 m/s (enemy, splash)3.6 m/s (self, splash)"
Sigma,Ability,AccretionE,Gather a mass of debris and throw it at an enemy to knock them down.,projectile speed,37 m/s
Sigma,Ability,AccretionE,Gather a mass of debris and throw it at an enemy to knock them down.,projectile radius,0.9 meters
Sigma,Ability,Gravitic FluxQ,Manipulate gravity to lift enemies into the air and slam them back down.,damage,50 (lift)50% max HP (slam)
Sigma,Ability,Gravitic FluxQ,Manipulate gravity to lift enemies into the air and slam them back down.,headshot,✕
Sigma,Ability,Gravitic FluxQ,Manipulate gravity to lift enemies into the air and slam them back down.,cast time,0 + 0.6 seconds (activation)1.0 + 0 seconds (lift)
Sigma,Ability,Gravitic FluxQ,Manipulate gravity to lift enemies into the air and slam them back down.,duration,5 seconds (targeting)1 second (activation delay)2.3 seconds (suspension)0.6 seconds (high gravity after slam)
Sigma,Ability,Gravitic FluxQ,Manipulate gravity to lift enemies into the air and slam them back down.,max. range,35 meters
Sigma,Ability,Gravitic FluxQ,Manipulate gravity to lift enemies into the air and slam them back down.,area of effect,8 meters radius (horizontal)~8-10 meters (vertical)
Sigma,Ability,Gravitic FluxQ,Manipulate gravity to lift enemies into the air and slam them back down.,movement speed,7.15 m/s
Sigma,Perk,Kinetic Cycle,Absorbing projectiles with Kinetic Grasp also reduces Accretion's cooldown.,,
Sigma,Perk,Massive Impact,Accretion's knockdown duration increases to up to 3 seconds based on travel distance.,duration,3.3 seconds (max knockdown)
Sigma,Perk,Hyper StrikeV,"Every 5 direct hits with Hyperspheres, your next successful Quick Melee levitates and knocks away enemies.",damage,50 over 0.37 seconds
Sigma,Perk,Hyper StrikeV,"Every 5 direct hits with Hyperspheres, your next successful Quick Melee levitates and knocks away enemies.",headshot,✕
Sigma,Perk,Hyper StrikeV,"Every 5 direct hits with Hyperspheres, your next successful Quick Melee levitates and knocks away enemies.",duration,1 second
Sigma,Perk,Hyper StrikeV,"Every 5 direct hits with Hyperspheres, your next successful Quick Melee levitates and knocks away enemies.",knockback speed,15 m/s
Sigma,Perk,LevitationSPACE,Activate and hold Double Jump to briefly levitate upward.,duration,1.75 seconds
Sigma,Perk,LevitationSPACE,Activate and hold Double Jump to briefly levitate upward.,movement speed,2.3 m/s
Winston,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,health,150
Winston,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,dmg. reduction,-25% taken
Winston,Ability,Tesla Cannon,Electric frontal-cone weapon.,damage,70 per second
Winston,Ability,Tesla Cannon,Electric frontal-cone weapon.,headshot,✕
Winston,Ability,Tesla Cannon,Electric frontal-cone weapon.,ammo consumption,20 per second
Winston,Ability,Tesla Cannon,Electric frontal-cone weapon.,ammo,120
Winston,Ability,Tesla Cannon,Electric frontal-cone weapon.,reload time,1.7 seconds animation
Winston,Ability,Tesla Cannon,Electric frontal-cone weapon.,max. range,8 meters
Winston,Ability,Tesla Cannon,Electric frontal-cone weapon.,spread angle,45 degrees
Winston,Ability,Tesla Cannon Alt Fire,"Hold to charge, release to fire focused electricity",damage,15.93 (min charge)60 (max charge)
Winston,Ability,Tesla Cannon Alt Fire,"Hold to charge, release to fire focused electricity",headshot,✕
Winston,Ability,Tesla Cannon Alt Fire,"Hold to charge, release to fire focused electricity",ammo consumption,4 - 12
Winston,Ability,Tesla Cannon Alt Fire,"Hold to charge, release to fire focused electricity",cast time,0.3 seconds (to min charge)0.85 second (to full charge)0.75 recovery
Winston,Ability,Tesla Cannon Alt Fire,"Hold to charge, release to fire focused electricity",max. range,40 meters
Winston,Ability,Tesla Cannon Alt Fire,"Hold to charge, release to fire focused electricity",projectile radius,0.33 meters
Winston,Ability,Jump PackLSHIFT,Leap forward into the air. Landing on an enemy damages them.,damage,60 – 1
Winston,Ability,Jump PackLSHIFT,Leap forward into the air. Landing on an enemy damages them.,headshot,✕
Winston,Ability,Jump PackLSHIFT,Leap forward into the air. Landing on an enemy damages them.,cast time,None
Winston,Ability,Jump PackLSHIFT,Leap forward into the air. Landing on an enemy damages them.,area of effect,5 meters radius (max)1.3 meter radius (falloff start)
Winston,Ability,Jump PackLSHIFT,Leap forward into the air. Landing on an enemy damages them.,movement speed,30 m/s
Winston,Ability,Jump PackLSHIFT,Leap forward into the air. Landing on an enemy damages them.,knockback speed,10.1 m/s (landing)7.2 (mid-leap)
Winston,Ability,Barrier ProjectorE,Deploy a protective energy dome.,barrier health,650
Winston,Ability,Barrier ProjectorE,Deploy a protective energy dome.,cast time,None
Winston,Ability,Barrier ProjectorE,Deploy a protective energy dome.,duration,8 seconds
Winston,Ability,Barrier ProjectorE,Deploy a protective energy dome.,area of effect,5 meter radius
Winston,Ability,Primal RageQ,"Gain immense health, but you can only leap and punch enemies.",damage,50 (melee)
Winston,Ability,Primal RageQ,"Gain immense health, but you can only leap and punch enemies.",headshot,✕
Winston,Ability,Primal RageQ,"Gain immense health, but you can only leap and punch enemies.",rate of fire,1 swing per 0.656 seconds
Winston,Ability,Primal RageQ,"Gain immense health, but you can only leap and punch enemies.",health,"700 max health, fully restore HP"
Winston,Ability,Primal RageQ,"Gain immense health, but you can only leap and punch enemies.",cast time,0 + 0.7 seconds
Winston,Ability,Primal RageQ,"Gain immense health, but you can only leap and punch enemies.",duration,10 seconds (transformation)
Winston,Ability,Primal RageQ,"Gain immense health, but you can only leap and punch enemies.",max. range,4 meters (melee)
Winston,Ability,Primal RageQ,"Gain immense health, but you can only leap and punch enemies.",mov. speed buff,+30%
Winston,Ability,Primal RageQ,"Gain immense health, but you can only leap and punch enemies.",knockback speed,25.7 m/s (melee)
Winston,Perk,Short Circuit,"Tesla Cannon deals 100% more damage to deployable objects, such as turrets and barriers.",,
Winston,Perk,Heavy Landing,"During Primal Rage, Jump Pack's damage and area increase by up to 75% while airborne.",damage,105 - 1
Winston,Perk,Heavy Landing,"During Primal Rage, Jump Pack's damage and area increase by up to 75% while airborne.",headshot,✕
Winston,Perk,Heavy Landing,"During Primal Rage, Jump Pack's damage and area increase by up to 75% while airborne.",max. range,9 meters
Winston,Perk,Chain Lightning,Fully charged Secondary Fire hits bounce to up to 2 additional targets.,damage,48 (1st bounce)36 (2nd bounce)
Winston,Perk,Chain Lightning,Fully charged Secondary Fire hits bounce to up to 2 additional targets.,headshot,✕
Winston,Perk,Chain Lightning,Fully charged Secondary Fire hits bounce to up to 2 additional targets.,max. range,10 meters
Winston,Perk,Revitalizing Barrier,Barrier Projector heals allies within it for 30 health per second.,healing,30 per second
Wrecking Ball,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,health,150
Wrecking Ball,Ability,Role: Tank,Reduces knockbacks and critical damage received. Less ultimate generated by healing and damage received. Increases base health in Role Queue game modes.,dmg. reduction,-25% taken
Wrecking Ball,Ability,Quad Cannons,Automatic assault weapons.,damage,5 – 1.5 per shot
